Prey,Primary_Component
MOSPD2,2
MOV10,12
MPHOSPH10,6
MPHOSPH6,11
MPHOSPH9,8
MPP7,1
MRM3,3
MRPL1,4
MRPL10,3
MRPL11,5
MRPL12,3
MRPL14,3
MRPL15,4
MRPL16,12
MRPL21,3
MRPL22,4
MRPL24,3
MRPL28,1
MRPL3,4
MRPL37,3
MRPL38,4
MRPL39,4
MRPL4,4
MRPL42,3
MRPL43,3
MRPL44,3
MRPL45,3
MRPL46,3
MRPL47,3
MRPL48,3
MRPL49,1
MRPL50,4
MRPL52,1
MRPL53,3
MRPL9,4
MRPS10,3
MRPS14,3
MRPS16,3
MRPS17,4
MRPS18B,3
MRPS18C,3
MRPS2,3
MRPS22,3
MRPS23,3
MRPS24,3
MRPS25,3
MRPS26,3
MRPS27,3
MRPS28,3
MRPS30,4
MRPS31,3
MRPS34,3
MRPS35,3
MRPS36,3
MRPS5,3
MRPS6,3
MRPS7,3
MRPS9,3
MRTO4,6
MSH3,11
MSI1,12
MSI2,12
MTDH,2
MTHFD1L,3
MTIF2,3
MTPAP,3
MTR,1
MXRA7,2
MYBL2,10
MYCBP,1
MYCBP2,6
N4BP1,7
N4BP2,10
NAA35,6
NACC1,5
NAP1L1,5
NAP1L4,5
NAV1,8
NBAS,2
NBEA,1
NBR1,10
NCBP1,13
NCBP3,11
NCKAP5L,8
NCL,6
NCOA1,5
NCOA2,5
NCOA3,5
NCOA5,4
NCOA6,5
NCOR1,13
NCOR2,13
NDC1,2
NDUFA12,3
NDUFA2,3
NDUFA5,3
NDUFA6,3
NDUFA7,3
NDUFA9,3
NDUFAB1,3
NDUFAF2,3
NDUFAF4,3
NDUFAF5,3
NDUFS1,3
NDUFS2,3
NDUFS3,3
NDUFS4,3
NDUFS6,3
NDUFS7,3
NDUFS8,3
NDUFV1,3
NDUFV2,3
NDUFV3,3
NEDD1,8
NEDD8-MDP1,1
NEK1,10
NEK4,1
NELFA,13
NELFCD,14
NELFE,13
NEPRO,11
NETO2,2
NFIB,11
NFIC,5
NFRKB,13
NFS1,3
NFX1,1
NFXL1,2
NIFK,6
NIN,7
NIP7,6
NIPBL,13
NIPSNAP1,3
NISCH,10
NKAP,11
NKRF,4
NLE1,6
NME4,3
NME7,7
NMNAT1,9
NMT1,6
NOC3L,11
NOC4L,11
NOL10,11
NOL11,6
NOL7,6
NOL8,11
NOL9,4
NOM1,11
NONO,4
NOP14,11
NOP16,6
NOP2,6
NOP56,6
NOS1AP,14
NOTCH2,14
NOVA2,4
NPAT,13
NPLOC4,2
NPM1,11
NRBF2,10
NSDHL,2
NUDC,10
NUDCD2,1
NUDCD3,10
NUDT19,8
NUDT21,4
NUFIP1,9
NUFIP2,1
NUMB,14
NUMBL,14
NUP107,11
NUP133,11
NUP153,11
NUP155,2
NUP188,10
NUP205,11
NUP210,2
NUP214,11
NUP35,2
NUP50,11
NUP54,11
NUP58,11
NUP62,11
NUP88,11
NUP98,11
NUPL2,11
NVL,11
NXF1,11
NXN,1
NXT1,11
NYNRIN,12
OAT,3
OBSL1,1
OCIAD1,11
OCRL,1
OFD1,10
OGDH,3
OPTN,14
ORC5,5
OSBPL11,2
OSBPL3,8
OSBPL8,2
OTUD4,1
PABPC1,12
PABPC4,12
PAIP1,12
PAIP2,12
PAIP2B,12
PALD1,2
PALLD,1
PAN2,1
PAN3,1
PAPD5,11
PARD3,1
PARN,11
PARP12,12
PARP14,7
PARP16,2
PASK,10
PATL1,1
PAXBP1,5
PAXIP1,5
PBXIP1,2
PCBP1,12
PCBP2,4
PCF11,13
PCGF1,5
PCGF6,10
PCID2,6
PCIF1,13
PCM1,10
PCNT,1
PDCD11,6
PDCD4,11
PDCD7,9
PDCL,2
PDE3B,2
PDIA4,11
PDK1,3
PDK3,3
PDLIM7,8
PDRG1,10
PDZD8,2
PEAK1,8
PEG10,14
PES1,11
PEX19,11
PEX5,10
PFDN1,14
PFDN2,14
PFDN5,14
PFKM,8
PGAM5,1
PGRMC1,2
PGRMC2,2
PHAX,13
PHB,3
PHF20,1
PHF3,13
PHF8,9
PHKA1,6
PHLDB1,1
PHLDB2,8
PHRF1,13
PIAS1,11
PIBF1,10
PICALM,14
PIH1D1,10
PIK3AP1,14
PIK3C2A,14
PIK3C3,1
PIK3R1,8
PIP4K2C,1
PJA2,10
PKMYT1,2
PKP4,1
PLCH1,8
PLEKHA5,8
PLEKHA7,8
PLEKHG1,8
PLEKHH2,10
PLK1,1
PLRG1,9
PLXNB2,2
PNISR,9
PNPT1,3
PNRC1,1
POC5,1
POLDIP2,3
POLDIP3,11
POLR2A,13
POLR2B,13
POLR2C,13
POLR2D,13
POLR2E,13
POLR2G,13
POLR2I,13
POLR2L,13
POLRMT,3
POM121,11
POM121C,11
POP7,1
POR,2
PPA2,3
PPAN-P2RY11,6
PPHLN1,4
PPIE,9
PPIF,3
PPIH,9
PPIL1,9
PPIL2,4
PPIL4,4
PPP1R13B,8
PPP1R7,7
PPP1R8,9
PPP2R5C,7
PPP2R5D,6
PPP4C,13
PPP4R2,13
PPP4R3A,13
PPP4R3B,13
PPP6C,1
PPP6R1,1
PPP6R2,1
PPP6R3,1
PPWD1,9
PQBP1,9
PRCC,9
PREB,2
PRKCD,1
PRKCH,2
PRKCI,10
PRKRA,6
PRMT1,1
PRMT5,9
PROSER3,1
PRPF19,9
PRPF3,9
PRPF31,9
PRPF38A,11
PRPF4,9
PRPF40A,5
PRPF4B,6
PRPF6,9
PRPF8,9
PRR12,5
PRRC2A,1
PRRC2B,1
PRRC2C,1
PSD3,10
PSMA1,10
PSMA6,5
PSMB4,5
PSMB6,10
PSMC1,13
PSMD1,5
PSMD13,5
PSMD7,5
PSPC1,4
