Method,Bait_Length,Component,NMF_Correlation
Lasso,90,12,-0.03897862176315262
Lasso,90,13,0.9999667309162026
Lasso,90,14,0.9994532954597171
Ridge,90,1,0.8133764928398175
Ridge,90,2,0.999999139934739
Ridge,90,3,0.999970239090432
Ridge,90,4,0.9985504726659847
Ridge,90,5,0.9999918938863296
Ridge,90,6,0.9998280964940596
Ridge,90,7,0.9864648585054966
Ridge,90,8,0.999763151630372
Ridge,90,9,0.8521750241344607
Ridge,90,10,0.9944116851954519
Ridge,90,11,0.9999184905450966
Ridge,90,12,-0.04027718730209965
Ridge,90,13,0.9999666452319713
Ridge,90,14,0.9996711245731443
Elastic_Net,90,1,0.7983678767399316
Elastic_Net,90,2,0.9999992314945115
Elastic_Net,90,3,0.9999671967651761
Elastic_Net,90,4,0.9987540225557517
Elastic_Net,90,5,0.9999917863101174
Elastic_Net,90,6,0.9998116880673554
Elastic_Net,90,7,0.9859814065677935
Elastic_Net,90,8,0.999719363659808
Elastic_Net,90,9,0.8521790834885941
Elastic_Net,90,10,0.9942541738485866
Elastic_Net,90,11,0.9999188663986128
Elastic_Net,90,12,-0.03955013652839581
Elastic_Net,90,13,0.9999668408015022
Elastic_Net,90,14,0.9996373837388003
Random_Forest,90,1,0.983736173357324
Random_Forest,90,2,0.9999998275545324
Random_Forest,90,3,0.9999974706316966
Random_Forest,90,4,0.9999737966966348
Random_Forest,90,5,0.999990768044531
Random_Forest,90,6,0.9999464464791125
Random_Forest,90,7,0.9979644329167974
Random_Forest,90,8,0.9999086173230013
Random_Forest,90,9,0.9999715745258266
Random_Forest,90,10,0.9987473065707566
Random_Forest,90,11,0.9999957548715669
Random_Forest,90,12,0.9989419369255255
Random_Forest,90,13,0.9999998452613416
Random_Forest,90,14,0.9999115231285135
Gradient_Boosting,90,1,0.7893274957787426
Gradient_Boosting,90,2,0.9999992109831245
Gradient_Boosting,90,3,0.9999612367250927
Gradient_Boosting,90,4,0.9989103697525659
Gradient_Boosting,90,5,0.9999919421195664
Gradient_Boosting,90,6,0.9997764856074264
Gradient_Boosting,90,7,0.9857054553392016
Gradient_Boosting,90,8,0.9996960855304219
Gradient_Boosting,90,9,0.8521720186935373
Gradient_Boosting,90,10,0.9948969024046176
Gradient_Boosting,90,11,0.999918866954529
Gradient_Boosting,90,12,-0.04155452178785015
Gradient_Boosting,90,13,0.9999679495540766
Gradient_Boosting,90,14,0.99966521363589
XGBoost,90,1,0.8272445288881857
XGBoost,90,2,0.9999991866562851
XGBoost,90,3,0.9999691628920728
XGBoost,90,4,0.9981306608753097
XGBoost,90,5,0.999826445905192
XGBoost,90,6,0.9998032692307216
XGBoost,90,7,0.9869187957171724
XGBoost,90,8,0.9998989762086975
XGBoost,90,9,0.8521662629309947
XGBoost,90,10,0.9993787907387983
XGBoost,90,11,0.9995553410377852
XGBoost,90,12,-0.04133806622204292
XGBoost,90,13,0.9999704154715426
XGBoost,90,14,0.9994571714418548
Neural_Network,90,1,0.998710384161076
Neural_Network,90,2,0.9999998290171732
Neural_Network,90,3,0.9999995066800361
Neural_Network,90,4,0.9999847010158648
Neural_Network,90,5,0.9998569876425921
Neural_Network,90,6,0.9999805405606853
Neural_Network,90,7,0.9994518894953925
Neural_Network,90,8,0.9999848457050896
Neural_Network,90,9,0.9998659683616872
Neural_Network,90,10,0.9998095807036136
Neural_Network,90,11,0.9995811414785306
Neural_Network,90,12,0.9993435169783461
Neural_Network,90,13,0.9999993823964158
Neural_Network,90,14,0.9996205503407083
GENBAIT,90,1,0.9991056072402562
GENBAIT,90,2,0.9999996118614802
GENBAIT,90,3,0.9999998354512508
GENBAIT,90,4,0.9999949675877081
GENBAIT,90,5,0.9999686701799643
GENBAIT,90,6,0.9999807140353075
GENBAIT,90,7,0.9992546713066491
GENBAIT,90,8,0.9999751293369747
GENBAIT,90,9,0.9999743123640114
GENBAIT,90,10,0.9998006626502539
GENBAIT,90,11,0.9999288415905905
GENBAIT,90,12,0.9997114184722364
GENBAIT,90,13,0.9999996460875292
GENBAIT,90,14,0.9997707925541429
