Bait,Prey
AARS2,HOXC9
AARS2,HOXD13
AARS2,HPS3
AARS2,HS1BP3
AARS2,HSPA12A
AARS2,HSPA1A
AARS2,HSPA1B
AARS2,HSPA1L
AARS2,HTT
AARS2,IBTK
AARS2,ICE1
AARS2,ICE2
AARS2,IFFO1
AARS2,IFFO2
AARS2,IFIT2
AARS2,IFNGR1
AARS2,IFT20
AARS2,IFT57
AARS2,IFT74
AARS2,IFT81
AARS2,IGF1R
AARS2,IGF2BP1
AARS2,IGSF3
AARS2,ILDR2
AARS2,IMMP1L
AARS2,IMP3
AARS2,INA
AARS2,INCENP
AARS2,INSR
AARS2,INTS4
AARS2,IP6K1
AARS2,IPMK
AARS2,IQCB1
AARS2,IQCC
AARS2,IQSEC1
AARS2,IQSEC2
AARS2,IRS2
AARS2,IRS4
AARS2,ISG20L2
AARS2,ITGA1
AARS2,ITGA4
AARS2,ITGB5
AARS2,ITM2B
AARS2,ITPKA
AARS2,ITPR2
AARS2,ITPRIP
AARS2,ITSN1
AARS2,ITSN2
AARS2,JADE3
AARS2,JAG1
AARS2,JAG2
AARS2,JAK1
AARS2,JAKMIP1
AARS2,JAM3
AARS2,JCAD
AARS2,JMY
AARS2,JPH1
AARS2,JUN
AARS2,KALRN
AARS2,KANSL3
AARS2,KAT6A
AARS2,KAT7
AARS2,KAT8
AARS2,KATNA1
AARS2,KBTBD6
AARS2,KBTBD7
AARS2,KCNB2
AARS2,KCNQ5
AARS2,KDELR2
AARS2,KDM2A
AARS2,KDM2B
AARS2,KDM3A
AARS2,KIAA0040
AARS2,KIAA0319L
AARS2,KIAA0355
AARS2,KIAA0586
AARS2,KIAA0753
AARS2,KIAA1107
AARS2,KIAA1191
AARS2,KIAA1211
AARS2,KIAA1217
AARS2,KIAA1324L
AARS2,KIAA1328
AARS2,KIAA1522
AARS2,KIAA1549
AARS2,KIAA1671
AARS2,KIF13A
AARS2,KIF16B
AARS2,KIF18B
AARS2,KIF1A
AARS2,KIF1C
AARS2,KIF20A
AARS2,KIF20B
AARS2,KIF22
AARS2,KIF24
AARS2,KIF26B
AARS2,KIF3A
AARS2,KIF4B
AARS2,KIF5A
AARS2,KIN
AARS2,KIRREL1
AARS2,KIZ
AARS2,KLC4
AARS2,KMT2B
AARS2,KMT2D
AARS2,KNL1
AARS2,KNOP1
AARS2,KNSTRN
AARS2,KRIT1
AARS2,KRT19
AARS2,KRT6B
AARS2,KRT77
AARS2,KRT79
AARS2,KXD1
AARS2,L3MBTL2
AARS2,LARP1B
AARS2,LATS1
AARS2,LATS2
