Chi2_30,F_classif_30,Mutual_Info_30,Lasso_30,Ridge_30,Elastic_Net_30,Random_Forest_30,Gradient_Boosting_30,XGBoost_30,Neural_Network_30,GENBAIT_30,Chi2_60,F_classif_60,Mutual_Info_60,Lasso_60,Ridge_60,Elastic_Net_60,Random_Forest_60,Gradient_Boosting_60,XGBoost_60,Neural_Network_60,GENBAIT_60,Chi2_90,F_classif_90,Mutual_Info_90,Lasso_90,Ridge_90,Elastic_Net_90,Random_Forest_90,Gradient_Boosting_90,XGBoost_90,Neural_Network_90,GENBAIT_90
,,,,,,,,,,,LAMTOR1_target_peptide,ATP2A1,LAMP3,PDIA4,RAB9A,ZNF330_target,HIST1H3A,RAB2A,RPN1,ATP2A1,TRAP1,LAMTOR1_target_peptide,ATP2A1,LAMP3,PDIA4,RAB9A,ZNF330_target,HIST1H3A,RAB2A,RPN1,HSD17B11,PCM1
,,,,,,,,,,,COX4I1,LAMP2,RAB2A,DHX40,PXMP2,LAMP1,SEC62,ZNF330_target,DDX23,LAMTOR1,TRIM36_Nterm,COX4I1,LAMP2,RAB2A,DHX40,PXMP2,LAMP1,SEC62,ZNF330_target,DDX23,RPS24,PDHA1
,,,,,,,,,,,CAMSAP2,CD3EAP,DERL1,PEX3,RPS20,ASH2L,C11orf52,AGPS,KDM1A,SFXN1,ZFPL1,CAMSAP2,CD3EAP,DERL1,PEX3,RPS20,ASH2L,C11orf52,AGPS,KDM1A,ZFPL1,PHB2
,,,,,,,,,,,STIM1,SV40_NLS,MAPRE3,NIFK,PARD3,CS,POLR2C,PFN1,CBX3,HSD17B11,ZYX,STIM1,SV40_NLS,MAPRE3,NIFK,PARD3,CS,POLR2C,PFN1,CBX3,SSR1,POLR2C
,,,,,,,,,,,,,,,,,,,,,,CKAP4,HSD3B7,PDIA4,AARS2,RPS6,RPS6,NIFK,TRIM36_Nterm,HIST1H3A,NOP56,PXMP2
,,,,,,,,,,,,,,,,,,,,,,RPN2,GJD3,STX4,FBL,LAMTOR1,CTNNB1,HSD17B11,COX8A_target,AKAP1,TRAP1,Pxn
,,,,,,,,,,,,,,,,,,,,,,RAB9A,ZFPL1,BCAP31,RPS6,BORCS6,ACTB,TRIM36_Nterm,RAB35,NCBP3,STX6,RAB11A
,,,,,,,,,,,,,,,,,,,,,,ZFPL1,CALU,RPS24,CAMSAP2,OCLN,LYN,ATP2A1,KRT19,CALR3,C11orf52,RAB2A
,,,,,,,,,,,,,,,,,,,,,,HIST1H3A,RAB9A,NOP56,RPS24,RPN1,AGPS,AIFM1,HIST1H3A,KRAS_Q61H,ASF1A,RAB4A
,,,,,,,,,,,,,,,,,,,,,,FBL,LAMTOR1_target_peptide,RAB5C,NUP155_Cterm,RPS24,CAMSAP2,ZFPL1,METTL7A,SV40_NLS,DERL1,RAB5A
