Chi2_40,F_classif_40,Mutual_Info_40,Lasso_40,Ridge_40,Elastic_Net_40,Random_Forest_40,Gradient_Boosting_40,XGBoost_40,Neural_Network_40,GENBAIT_40,Chi2_60,F_classif_60,Mutual_Info_60,Lasso_60,Ridge_60,Elastic_Net_60,Random_Forest_60,Gradient_Boosting_60,XGBoost_60,Neural_Network_60,GENBAIT_60,Chi2_80,F_classif_80,Mutual_Info_80,Lasso_80,Ridge_80,Elastic_Net_80,Random_Forest_80,Gradient_Boosting_80,XGBoost_80,Neural_Network_80,GENBAIT_80
,,,,,,,,,,,AIFM1,NOP56,RAB4A,PEX3,PEX3,RAB9A,ZNF330_target,CS,ANAPC2,ATP2A1,OCLN,AIFM1,NOP56,RAB4A,PEX3,PEX3,RAB9A,ZNF330_target,CS,ANAPC2,RAB4A,MAPRE1
,,,,,,,,,,,DERL1,AIFM1,SFXN1,CENPA,RAB5A,ACTR3,LYN,LAMTOR1,MAPRE3,TRAP1,PARP1,DERL1,AIFM1,SFXN1,CENPA,RAB5A,ACTR3,LYN,LAMTOR1,MAPRE3,LAMP1,MAPRE3
,,,,,,,,,,,LRRC59_Nterm,EMD,PARP1,GOLGA2,TUBB,ACBD5,PARP1,CD3EAP,DDX23,CEP135,PCM1,LRRC59_Nterm,EMD,PARP1,GOLGA2,TUBB,ACBD5,PARP1,CD3EAP,DDX23,POLR2C,METTL7A
,,,,,,,,,,,EMD,B3GAT1,CBX3,PARP1,CAV1,POLR2C,LAMTOR1,PFN1,TUBA4A,B3GAT1,PDHA1,EMD,B3GAT1,CBX3,PARP1,CAV1,POLR2C,LAMTOR1,PFN1,TUBA4A,C11orf52,NDC80
,,,,,,,,,,,LYN,STIM1,ATP2A1,EBAG9,LRRC59_Cterm,RPN1,EBAG9,EBAG9,RPS24,LYN,PFN1,LYN,STIM1,ATP2A1,EBAG9,LRRC59_Cterm,RPN1,EBAG9,EBAG9,RPS24,TRAP1,NIFK
,,,,,,,,,,,RPN1,HNRNPA1,CKAP4,SEC61B_Nterm,ACTR3,COX8A_target,COX4I1,DHFRL1,CENPA,LAMP1,RAB11A,RPN1,HNRNPA1,CKAP4,SEC61B_Nterm,ACTR3,COX8A_target,COX4I1,DHFRL1,CENPA,SEC61B_Cterm,NOP56
,,,,,,,,,,,LAMTOR1_target_peptide,SYNE3_Nterm,SEC61B_Cterm,AKAP1,ASH2L,CEP135,CEP135,NIFK,RAB9A,ARF6,RAB35,LAMTOR1_target_peptide,SYNE3_Nterm,SEC61B_Cterm,AKAP1,ASH2L,CEP135,CEP135,NIFK,RAB9A,SEC62,OCLN
,,,,,,,,,,,B3GAT1,RPN1,PXMP2,RPN1,POLR1E,DERL1,FBL,DERL1,RAB5A,ASF1A,RAB4A,B3GAT1,RPN1,PXMP2,RPN1,POLR1E,DERL1,FBL,DERL1,RAB5A,CENPA,PARD3
,,,,,,,,,,,RPN2,NDC80,CENPA,MAPRE1,GOLGA2,LRRC59_Cterm,PDIA4,PRPF8,METTL7A,SEC62,RAB9A,RPN2,NDC80,CENPA,MAPRE1,GOLGA2,LRRC59_Cterm,PDIA4,PRPF8,METTL7A,EBAG9,PARP1
,,,,,,,,,,,COX4I1,ATP2A1,SYNE3_Cterm,KRAS_Q61H,EBAG9,RAB2A,RPS6,FBL,COX8A_target,ELOVL5,RPL31,COX4I1,ATP2A1,SYNE3_Cterm,KRAS_Q61H,EBAG9,RAB2A,RPS6,FBL,COX8A_target,ASF1A,PCM1
,,,,,,,,,,,ELOVL5,CBX3,RPS24,CEP135,ACBD5,GOLGA2,ELOVL5,TUBB,ASH2L,DHX8,RPS20,ELOVL5,CBX3,RPS24,CEP135,ACBD5,GOLGA2,ELOVL5,TUBB,ASH2L,HSD3B7,PDHA1
,,,,,,,,,,,DCTN1,HSD3B7,ARF6,RHOB,NDC80,RPS6,RAB9A,ELOVL5,TUBB,C11orf52,RPS6,DCTN1,HSD3B7,ARF6,RHOB,NDC80,RPS6,RAB9A,ELOVL5,TUBB,HNRNPA1,PDIA4
,,,,,,,,,,,FBL,LAMTOR1_target_peptide,DERL1,TRIM36_Nterm,SQSTM1,SQSTM1,ANAPC2,Pxn,LATS1,HNRNPA1,SEC61B_Cterm,FBL,LAMTOR1_target_peptide,DERL1,TRIM36_Nterm,SQSTM1,SQSTM1,ANAPC2,Pxn,LATS1,ELOVL5,PFN1
,,,,,,,,,,,CKAP4,ELOVL5,GJA1,POLR2C,MAPRE3,EBAG9,DERL1,AGPS,LRRC59_Nterm,SFXN1,SEC61B_Nterm,CKAP4,ELOVL5,GJA1,POLR2C,MAPRE3,EBAG9,DERL1,AGPS,LRRC59_Nterm,FBL,PHB2
,,,,,,,,,,,ZNF330_target,LYN,PDIA4,GJD3,RPS24,CLTA,GJD3,SSR1,ASF1A,OCLN,SERBP1,ZNF330_target,LYN,PDIA4,GJD3,RPS24,CLTA,GJD3,SSR1,ASF1A,ANAPC2,PRPH
,,,,,,,,,,,ACTB,BCAP31,CAV1,PDIA4,CLTA,RPS24,TRAP1,LCK,LYN_target,PFN1,SFXN1,ACTB,BCAP31,CAV1,PDIA4,CLTA,RPS24,TRAP1,LCK,LYN_target,HSD17B11,RAB11A
,,,,,,,,,,,ATP2A1,RAB35,TRAP1,CS,KDM1A,ELOVL5,DHFRL1,COX8A_target,HSD3B7,HSD3B7,SV40_NLS,ATP2A1,RAB35,TRAP1,CS,KDM1A,ELOVL5,DHFRL1,COX8A_target,HSD3B7,RPS20,RAB4A
,,,,,,,,,,,CENPA,VAPA,COX4I1,POLR1E,PRPF8,POLR1E,LAMP3,LAMP1,EMD,RAB2A,SYNE3_Nterm,CENPA,VAPA,COX4I1,POLR1E,PRPF8,POLR1E,LAMP3,LAMP1,EMD,B3GAT1,RAB5A
,,,,,,,,,,,SV40_NLS,C11orf52,RAB5A,DERL1,ZNF330_target,RAB5A,RPN1,AARS2,ZFPL1,DERL1,TERF2IP,SV40_NLS,C11orf52,RAB5A,DERL1,ZNF330_target,RAB5A,RPN1,AARS2,ZFPL1,DHX8,RAB5C
,,,,,,,,,,,VAPA,COX4I1,BCAP31,RPN2,DERL1,SSR1,RAB4A,ACTR1A,DHFRL1,HSD17B11,TRIM36_Nterm,VAPA,COX4I1,BCAP31,RPN2,DERL1,SSR1,RAB4A,ACTR1A,DHFRL1,PFN1,RAB9A
,,,,,,,,,,,,,,,,,,,,,,MAPRE3,GJD3,EMD,ELOVL5,CEP135,METTL7A,RAB5A,ZNF330_target,CEP135,DERL1,RPL31
,,,,,,,,,,,,,,,,,,,,,,ASF1A,RAB9A,ZFPL1,CAV1,AGPS,GJD3,LAMP1,CAV1,RHOB,SFXN1,RPS20
,,,,,,,,,,,,,,,,,,,,,,HSD3B7,FBL,OCLN,NUP155_Nterm,GJD3,PRPF8,CALR3,AKAP1,LYN,OCLN,RPS6
,,,,,,,,,,,,,,,,,,,,,,CD3EAP,CALU,RPS6,SYNE3_Cterm,RAB2A,LCK,RAB35,ASH2L,SQSTM1,GJA1,SEC61B_Cterm
,,,,,,,,,,,,,,,,,,,,,,STIM1,ZNF330_target,RAB5C,ASH2L,LCK,AIFM1,NIFK,PARP1,TRIM36_Cterm,CAV1,SEC62
,,,,,,,,,,,,,,,,,,,,,,C11orf52,TMPO,APEX1,GJA1,ELOVL5,ASH2L,PFN1,EMD,RPN1,RAB2A,SERBP1
,,,,,,,,,,,,,,,,,,,,,,BCAP31,SV40_NLS,STX6,RAB9A,AIFM1,MAPRE1,C11orf52,RPN2,NUP155_Nterm,RPS24,SFXN1
,,,,,,,,,,,,,,,,,,,,,,RAB35,LAMP3,LNPK_Nterm,SERBP1,PRPH,VIM,SSR1,SQSTM1,CBX3,DHFRL1,STX6
,,,,,,,,,,,,,,,,,,,,,,RAB9A,CD3EAP,STX4,PRPF8,PDIA4,ZNF330_target,LCK,CTNNB1,NIFK,MLLT4,STX7
,,,,,,,,,,,,,,,,,,,,,,RAB4A,RAB4A,LAMP1,PFN1,PFN1,NUP155_Nterm,AIFM1,POLR1E,CKAP4,STX6,SV40_NLS
,,,,,,,,,,,,,,,,,,,,,,REEP5,CENPA,REEP5,AARS2,NUP155_Nterm,TUBB,SQSTM1,RAB4A,LAMTOR1,SSR1,SYNE3_Cterm
,,,,,,,,,,,,,,,,,,,,,,LAMP3,DCTN1,NUP155_Nterm,LAMP3,Pxn,CS,POLR1E,ACBD5,RAB3B_Nterm,TUBB,SYNE3_Nterm
