Chi2_30,F_classif_30,Mutual_Info_30,Lasso_30,Ridge_30,Elastic_Net_30,Random_Forest_30,Gradient_Boosting_30,XGBoost_30,Neural_Network_30,GENBAIT_30,Chi2_60,F_classif_60,Mutual_Info_60,Lasso_60,Ridge_60,Elastic_Net_60,Random_Forest_60,Gradient_Boosting_60,XGBoost_60,Neural_Network_60,GENBAIT_60,Chi2_90,F_classif_90,Mutual_Info_90,Lasso_90,Ridge_90,Elastic_Net_90,Random_Forest_90,Gradient_Boosting_90,XGBoost_90,Neural_Network_90,GENBAIT_90
,,,,,,,,,,,,,,,,,,,,,,SP100_NBF,HNRNPR_iso4_CBF,PML_CBF,EWSR1_CBF,NUP155_CBF,QKI_CBF,KHDRBS3_CBF,NUP155_CBF,SFPQ_NBF,HNRNPR_iso2_CBF,SS18L1_NBF
,,,,,,,,,,,,,,,,,,,,,,NONO_NBF,HIPK2_NBF,LSM4_CBF,NOP58_CBF,SRSF7_CBF,ESRP1_CBF,NSMF_CBF,NGDN_NBF,RBM45_CBF,NUP155_NBF,SUMO1_NBF
,,,,,,,,,,,,,,,,,,,,,,NUP155_NBF,GAR1_CBF,NOP58_CBF,NUP155_CBF,KHDRBS1_CBF,ZC3H11A_CBF,MFAP1_CBF,PHAX_NBF,EIF4A3_CBF,RIOK1_CBF,SURF6_CBF
,,,,,,,,,,,,,,,,,,,,,,SNRPD3_NBF,GEMIN7_CBF,DROSHA_NBF,SMN_CBF,NOP10_CBF,SNRPB2_NBF,ESRP1_CBF,TMPO_NBF,TTC14_CBF,USP7_NBF,SYNE3_NBF
,,,,,,,,,,,,,,,,,,,,,,LSM10_CBF,SP100_NBF,NXT1_CBF,TP53_CBF,CPSF1_NBF,UTP4_CBF,HNRNPK_CBF,SRSF1_NBF,NONO_NBF,MFAP1_CBF,TMPO_NBF
,,,,,,,,,,,,,,,,,,,,,,EIF6_NBF,NUP155_NBF,MFAP1_CBF,NGDN_NBF,SMN_CBF,TP53_CBF,CELF1_NBF,FUS_NBF,NCL_NBF,NOP58_CBF,TRIM22_CBF
,,,,,,,,,,,,,,,,,,,,,,MFAP1_NBF,LSM10_CBF,HIPK2_NBF,NELFB_NBF,PSPC1_NBF,BMI1_CBF,SNRPB2_CBF,SNRPB2_NBF,PSPC1_NBF,LSM4_NBF,TRIM22_NBF
,,,,,,,,,,,,,,,,,,,,,,DROSHA_NBF,SNRPD3_NBF,SP100_CBF,BMI1_CBF,HNRNPA1_CBF,NOP10_CBF,NELFB_NBF,USPL1_CBF,DDX23_NBF,SP100_CBF,USP7_NBF
,,,,,,,,,,,,,,,,,,,,,,RIOK1_CBF,MFAP1_NBF,DAXX_CBF,USP7_NBF,CPSF6_NBF,SRSF1_NBF,QKI_CBF,NSMF_CBF,ZC3H11A_CBF,PIAS1_CBF,USPL1_CBF
,,,,,,,,,,,,,,,,,,,,,,PIAS1_CBF,SLBP_NBF,PML_NBF,UTP4_CBF,PTBP1_CBF,NUP155_CBF,HSF1_CBF,DKC1_CBF,FBL_NBF,SNRPB2_CBF,ZC3H11A_CBF
